market,mean_funding
 Open Source ,15309173.89
 Opinions ,14253845.2
 Optimization ,27292550.93
 Organic ,3908333.33
 Organic Food ,6581428.43
 Outdoor Advertising ,1582500
 Outdoors ,250000
 Outsourcing ,2968888.89
 P2P Money Transfer ,197883333.3
 PC Gaming ,2258000
 PaaS ,14357489.65
 Parenting ,1144395.11
 Parking ,3200000
 Payments ,21866746
 Peer-to-Peer ,58877452.05
 Performance Marketing ,3317400
 Personal Branding ,50000
 Personal Finance ,27940871.82
 Personal Health ,2712365.86
 Personalization ,6255227.42
 Pets ,5417938.35
 Pharmaceuticals ,33588844.04
 Photo Editing ,27000000
 Photo Sharing ,3806096.5
 Photography ,4499668.92
 Physicians ,126052163.3
 Plumbers ,17750820
 Point of Sale ,25165000
 Politics ,8823734.75
 Polling ,360000
 Portals ,2700000
 Postal and Courier Services ,771666.67
 Predictive Analytics ,21916950.9
 Presentations ,13048992.86
 Price Comparison ,3797333.33
 Printing ,7735094
 Privacy ,19221883.33
 Private Social Networking ,179000
 Procurement ,802500
 Product Design ,9054250
 Product Development Services ,6950000
 Product Search ,400000
 Productivity Software ,4739222.11
 Professional Networking ,576666.67
 Professional Services ,668333.33
 Project Management ,2079946.82
 Promotional ,947906.67
 Property Management ,1981250
 Proximity Internet ,41000000
 Psychology ,250000
 Public Relations ,4977214.07
 Public Safety ,16399999
 Public Transportation ,25592898.05
 Publishing ,8383796.59
 Q&A ,3500000
 QR Codes ,1163208.67
 Quantitative Marketing ,6000000
 RFID ,200000
 RIM ,2300000
 Radical Breakthrough Startups ,6500000
 Rapidly Expanding ,20000000
 Real Estate ,14368554.5
 Real Estate Investors ,4130000
 Real Time ,7458814.47
 Realtors ,0
 Recipes ,107500000
 Recruiting ,8853007.3
 Recycling ,3461187.5
 Registrars ,300000
 Religion ,16250000
 Renewable Energies ,6378358.75
 Renewable Tech ,745000
 Rental Housing ,600000
 Reputation ,5450125
 Residential Solar ,1500000
 Restaurants ,5304534.07
 Retail ,10754821.71
 Retail Technology ,3838661.33
 Retirement ,2000000
 Reviews and Recommendations ,6164936.84
 Risk Management ,21480492.33
 Robotics ,19587558.33
 SEO ,7582166.67
 SMS ,13371975.45
 SaaS ,12803952.39
 Sales Automation ,10821636.36
 Sales and Marketing ,6917898.97
 Search ,11827870.51
 Search Marketing ,18300000
 Security ,15882025.19
 Self Development ,500000
 Self Storage ,260000
 Semantic Search ,16576641.5
 Semantic Web ,11408333.33
 Semiconductor Manufacturing Equipment ,19550000
 Semiconductors ,33238405.59
 Senior Citizens ,2100000
 Senior Health ,1250000
 Sensors ,2498477.11
 Service Industries ,16820000
 Service Providers ,2162500
 Services ,27500099.27
 Sex ,4800000
 Shipping ,695714.29
 Shoes ,55187477.5
 Shopping ,14438465.93
 Skill Assessment ,1985000
 Small and Medium Businesses ,3628052.17
 Smart Grid ,59736891
 Social + Mobile + Local ,6149758.33
 Social Bookmarking ,1766250
 Social Business ,5883556
 Social Buying ,14377677.86
 Social CRM ,32783333.33
 Social Commerce ,6592718.45
 Social Fundraising ,3610000
 Social Games ,2828698.64
 Social Investing ,3230000
 Social Media ,4643878.9
 Social Media Advertising ,4400000
 Social Media Management ,473333.33
 Social Media Marketing ,5120701.75
 Social Media Monitoring ,7346194.57
 Social Media Platforms ,7017591.25
 Social Network Media ,5233827.56
 Social Opinion Platform ,7000000
 Social Recruiting ,12607142.86
 Social Search ,5101500
 Social Television ,1363333.33
